tweet_id,hashtag_id,tagged_at
1467834265,1,2009-04-06 22:25:54
1467856821,2,2009-04-06 22:31:48
1467859558,3,2009-04-06 22:32:30
1467859922,4,2009-04-06 22:32:35
1467859922,5,2009-04-06 22:32:35
1467895481,6,2009-04-06 22:42:08
1467905378,7,2009-04-06 22:44:52
1467913111,8,2009-04-06 22:46:57
1467918728,9,2009-04-06 22:48:35
1467998983,3,2009-04-06 23:11:21
1468064945,10,2009-04-06 23:31:30
1468068550,11,2009-04-06 23:32:40
1468075570,12,2009-04-06 23:34:50
1468099958,13,2009-04-06 23:42:46
1468113109,14,2009-04-06 23:47:07
1468113544,3,2009-04-06 23:47:16
1468155619,5,2009-04-07 00:01:12
1468155619,15,2009-04-07 00:01:12
1468156574,16,2009-04-07 00:01:29
1468156574,13,2009-04-07 00:01:29
1468173373,17,2009-04-07 00:06:51
1468192673,18,2009-04-07 00:13:05
1468243138,19,2009-04-07 00:30:16
1468244914,20,2009-04-07 00:30:52
1468252457,21,2009-04-07 00:33:25
1468259216,22,2009-04-07 00:35:43
1468288295,23,2009-04-07 00:45:57
1468293310,24,2009-04-07 00:47:44
1468299018,25,2009-04-07 00:49:46
1468324687,26,2009-04-07 00:59:02
1468360001,27,2009-04-07 01:11:34
1468374080,28,2009-04-07 01:16:40
1468375888,29,2009-04-07 01:17:22
1468381190,30,2009-04-07 01:19:19
1468422938,31,2009-04-07 01:34:34
1468422938,32,2009-04-07 01:34:34
1468426052,33,2009-04-07 01:35:41
1468444158,3,2009-04-07 01:42:25
1468446352,34,2009-04-07 01:43:14
1468449262,35,2009-04-07 01:44:20
1468449262,29,2009-04-07 01:44:20
1468472365,36,2009-04-07 01:52:51
1468484103,37,2009-04-07 01:57:21
1468491766,38,2009-04-07 02:00:11
1468498689,39,2009-04-07 02:02:30
1468506889,40,2009-04-07 02:05:27
1468518616,41,2009-04-07 02:09:46
1468542034,42,2009-04-07 02:18:26
1468542034,43,2009-04-07 02:18:26
1468542883,3,2009-04-07 02:18:45
1468569024,3,2009-04-07 02:28:11
1468588836,44,2009-04-07 02:35:07
1468588836,29,2009-04-07 02:35:07
1468588836,35,2009-04-07 02:35:07
1468590446,13,2009-04-07 02:35:41
1468596929,1,2009-04-07 02:38:02
1468598198,45,2009-04-07 02:38:31
1468627571,46,2009-04-07 02:49:13
1468639063,47,2009-04-07 02:53:24
1468645098,48,2009-04-07 02:55:36
1468645098,49,2009-04-07 02:55:36
1468645098,50,2009-04-07 02:55:36
1468653290,51,2009-04-07 02:58:34
1468659365,52,2009-04-07 03:00:34
1468659707,53,2009-04-07 03:00:40
1468674937,54,2009-04-07 03:05:49
1468677850,55,2009-04-07 03:06:50
1468687825,56,2009-04-07 03:10:22
1468690477,57,2009-04-07 03:11:17
1468697350,58,2009-04-07 03:13:36
1468699286,3,2009-04-07 03:14:17
1468767102,59,2009-04-07 03:37:31
1468785620,60,2009-04-07 03:43:32
1468834329,61,2009-04-07 03:58:49
1468846505,61,2009-04-07 04:02:18
1468852889,34,2009-04-07 04:04:21
1468878459,3,2009-04-07 04:12:13
1468929947,62,2009-04-07 04:27:20
1468929947,63,2009-04-07 04:27:20
1468929947,64,2009-04-07 04:27:20
1468938101,65,2009-04-07 04:29:41
1468947202,66,2009-04-07 04:32:13
1468947202,67,2009-04-07 04:32:13
1468950206,66,2009-04-07 04:33:02
1468950206,67,2009-04-07 04:33:02
1468965461,68,2009-04-07 04:37:21
1468965461,69,2009-04-07 04:37:21
1468991999,70,2009-04-07 04:44:46
1469006230,71,2009-04-07 04:48:30
1469022162,72,2009-04-07 04:52:41
1469022906,73,2009-04-07 04:52:53
1469049688,40,2009-04-07 04:59:53
1469098143,3,2009-04-07 05:11:39
1469172438,74,2009-04-07 05:28:55
1469223066,3,2009-04-07 05:39:58
1469266374,75,2009-04-07 05:49:11
1469290062,76,2009-04-07 05:54:08
1469340761,77,2009-04-07 06:04:18
1469363074,40,2009-04-07 06:08:42
1469467491,60,2009-04-07 06:28:21
1469499507,18,2009-04-07 06:34:06
1469501005,78,2009-04-07 06:34:21
1469523380,79,2009-04-07 06:38:23
1469526860,3,2009-04-07 06:39:01
1469578062,80,2009-04-07 06:48:07
1469610249,81,2009-04-07 06:53:53
1469692334,82,2009-04-07 07:08:21
1469701581,83,2009-04-07 07:09:57
1469701581,84,2009-04-07 07:09:57
1469702025,85,2009-04-07 07:10:03
1469719627,86,2009-04-07 07:13:09
1469721427,87,2009-04-07 07:13:27
1469753536,88,2009-04-07 07:19:08
1469814802,89,2009-04-07 07:30:02
1469817247,90,2009-04-07 07:30:25
1469835705,91,2009-04-07 07:33:37
1469872949,92,2009-04-07 07:40:14
1469872949,93,2009-04-07 07:40:14
1469873064,94,2009-04-07 07:40:15
1469889030,95,2009-04-07 07:43:06
1469889030,96,2009-04-07 07:43:06
1469918231,97,2009-04-07 07:48:29
1469918231,98,2009-04-07 07:48:29
1469918231,99,2009-04-07 07:48:29
1469918231,100,2009-04-07 07:48:29
1469918231,101,2009-04-07 07:48:29
1469918231,102,2009-04-07 07:48:29
1469918231,103,2009-04-07 07:48:29
1469918231,104,2009-04-07 07:48:29
1469947123,105,2009-04-07 07:53:44
1469955147,3,2009-04-07 07:55:12
1469968927,106,2009-04-07 07:57:43
1470072342,107,2009-04-07 08:15:52
1470126516,90,2009-04-07 08:25:39
1470153534,108,2009-04-07 08:30:28
1470153534,109,2009-04-07 08:30:28
1470154537,110,2009-04-07 08:30:37
1470154537,111,2009-04-07 08:30:37
1470181979,112,2009-04-07 08:35:30
1470201573,113,2009-04-07 08:39:04
1470241061,107,2009-04-07 08:46:10
1548314595,114,2009-04-17 20:36:53
1548314595,115,2009-04-17 20:36:53
1548314595,116,2009-04-17 20:36:53
1548344054,117,2009-04-17 20:41:43
1548497981,118,2009-04-17 21:07:08
1548499444,18,2009-04-17 21:07:24
1548524150,119,2009-04-17 21:11:34
1548528187,119,2009-04-17 21:12:14
1548530126,120,2009-04-17 21:12:34
